yob,nkid,dep,phon,sinc,aes,dainc,res,dhval,dmort,doutm,doutl,douthp,doutcc,bad
19,4,0,1,0,"R",0,"O",14464,4,0,0,0,0,0
41,2,0,1,0,"P",36000,"O",0,0,280,664,0,80,0
66,0,0,1,0,"N",30000,"N",0,0,0,0,0,0,0
51,2,0,1,0,"P",464,"O",24928,8464,584,320,0,60,0
65,0,0,1,0,"P",15000,"P",0,0,0,0,0,0,0
42,2,0,1,10500,"E",48000,"O",43392,46464,1120,0,0,0,0
59,0,0,1,6500,"B",30000,"O",62464,56000,520,0,96,0,0
43,1,0,1,13500,"E",9000,"O",63392,54464,0,200,0,0,0
52,0,0,1,0,"E",22500,"P",0,0,0,200,0,80,0
65,0,0,1,0,"P",19500,"O",26464,4464,540,0,0,0,0
48,2,0,1,0,"E",30000,"O",38464,23664,600,0,524,0,0
55,0,0,1,8000,"V",21000,"O",14464,64000,376,0,0,0,0
44,0,0,1,0,"P",24000,"O",54464,0,384,0,0,0,0
53,1,0,1,10000,"V",28170,"O",8928,28000,404,0,0,0,0
54,2,0,1,2100,"N",48000,"O",50464,28464,600,0,0,88,0
62,0,0,1,0,"P",18009,"F",0,0,280,0,0,0,0
46,1,0,1,2500,"P",33000,"O",3392,54000,0,240,480,0,0
19,0,0,1,104,"R",24000,"O",52928,4,0,0,0,0,0
62,0,0,1,8970,"B",18474,"O",57464,28008,748,0,0,140,0
64,0,0,1,0,"T",4170,"P",0,0,0,0,0,0,0
31,0,0,1,20000,"U",0,"O",0,0,0,0,0,0,1
33,0,0,1,3600,"P",9360,"U",0,0,152,512,0,0,1
38,2,0,1,5000,"V",18464,"O",13568,28928,0,2000,0,600,0
31,2,1,1,0,"P",33464,"F",0,0,2800,0,0,800,0
55,1,1,1,0,"P",27000,"O",16928,14464,580,0,0,0,0
31,2,0,0,0,"P",3928,"F",0,0,852,0,0,0,0
33,0,0,1,0,"P",33750,"O",54464,30464,940,460,44,0,0
29,0,0,1,1000,"P",60000,"O",3392,4,0,0,0,0,0
63,0,0,0,0,"P",18300,"F",0,0,500,0,0,0,0
42,3,0,1,1000,"V",26637,"O",54464,4,0,0,276,0,0
45,4,0,1,10400,"V",6600,"O",48928,54000,352,124,0,0,0
60,0,0,1,8000,"P",36000,"O",48928,20928,1608,800,0,0,0
28,0,0,1,0,"V",17100,"F",0,0,0,100,0,0,0
63,0,0,1,0,"B",26400,"P",0,0,320,316,0,0,0
59,1,0,1,2000,"P",48000,"O",36928,50464,776,276,0,0,0
65,0,0,0,0,"V",9000,"O",36000,20000,220,112,0,0,0
44,2,0,1,0,"V",42000,"O",28928,22000,108,56,0,0,0
64,0,0,1,0,"V",21357,"P",0,0,0,0,0,0,1
66,0,0,1,0,"P",15000,"P",0,0,0,0,0,0,1
45,0,0,1,30000,"W",0,"O",21248,14464,0,0,0,0,0
68,0,0,1,0,"T",6189,"P",0,0,0,0,0,0,0
54,2,0,1,0,"P",55068,"O",43392,4,0,0,0,0,0
45,4,0,1,0,"E",42000,"O",28928,34464,988,0,0,0,0
13,0,0,0,850,"R",37500,"U",0,0,520,0,0,0,0
58,0,0,1,0,"P",40500,"O",26464,64000,520,0,0,0,0
66,0,0,1,0,"P",21750,"P",0,0,0,0,0,60,1
59,1,0,1,16000,"V",15000,"O",24928,54464,960,180,0,0,0
68,0,0,1,0,"T",0,"P",48928,6464,0,0,0,0,0
99,0,0,1,0,"R",0,"O",34464,4,0,0,0,0,0
45,4,0,1,20000,"W",0,"F",0,0,0,0,0,0,0
31,0,0,1,0,"V",34170,"O",0,0,0,0,0,0,1
54,0,0,1,0,"P",23646,"O",4928,4,0,380,0,32,0
57,0,0,1,0,"P",18765,"N",0,0,0,0,0,0,0
28,0,0,1,0,"R",0,"U",0,0,432,0,0,0,0
57,3,0,1,2928,"E",8784,"U",0,0,400,0,0,0,0
55,3,0,1,4000,"V",60000,"O",57856,56928,2000,0,0,600,0
68,0,0,0,0,"T",13800,"P",0,0,400,0,0,0,1
67,0,0,1,0,"T",18000,"P",0,0,400,0,0,0,0
19,0,0,1,0,"R",12000,"O",30464,4,0,0,0,0,0
57,0,0,1,0,"P",52500,"P",0,0,0,0,0,0,0
35,0,0,1,0,"E",34500,"O",3392,36000,288,0,0,0,0
66,0,0,1,0,"M",1620,"N",0,0,0,272,0,0,1
46,2,0,1,1960,"P",39750,"O",12464,29200,304,80,0,80,0
59,0,0,1,7195,"V",19728,"O",40464,56000,292,0,0,0,0
60,0,0,1,0,"P",22200,"P",0,0,0,0,0,0,0
63,0,0,1,0,"V",12825,"N",0,0,0,0,0,20,0
66,0,0,1,0,"P",16500,"P",0,0,0,0,0,0,0
60,1,0,1,0,"P",36012,"O",62464,40464,1000,0,0,0,0
59,1,0,1,0,"V",36000,"O",58464,26464,1160,640,0,0,0
62,0,0,1,0,"P",18000,"F",0,0,572,0,0,0,0
49,0,0,1,0,"P",43800,"O",12928,22464,760,240,0,100,0
61,0,0,0,0,"M",30510,"F",0,0,384,0,0,0,0
52,0,0,1,2000,"E",60000,"O",63392,43392,2280,0,0,0,0
50,2,0,1,0,"V",59931,"O",11392,54464,880,576,0,64,0
67,0,0,1,0,"T",0,"P",0,0,0,0,0,0,0
61,0,0,0,0,"M",30300,"F",0,0,0,0,80,60,0
61,0,0,1,0,"V",21474,"U",0,0,0,0,0,640,0
37,0,0,1,7500,"P",3000,"O",8928,4,0,0,0,20,0
64,0,0,1,0,"P",18000,"F",0,0,480,0,0,0,0
15,0,0,1,0,"R",15300,"O",42464,0,0,0,0,0,0
38,0,0,1,3000,"E",22500,"O",28928,12000,224,0,0,100,0
68,0,0,1,0,"T",5862,"U",0,0,160,0,0,0,0
56,3,0,1,9000,"P",15000,"U",0,0,448,0,0,0,0
24,0,0,1,0,"V",23445,"O",4928,4,0,0,0,120,0
45,1,0,1,0,"P",29769,"U",0,0,408,0,0,40,0
57,0,0,1,0,"E",7800,"F",0,0,0,0,0,0,1
52,2,1,1,0,"P",45000,"O",54464,14464,684,0,0,0,0
62,0,0,1,0,"V",60464,"N",0,0,0,0,0,0,0
43,0,0,1,9500,"P",23400,"O",34464,60000,488,200,0,100,0
21,0,0,1,0,"R",0,"O",0,0,0,152,0,0,0
39,3,0,1,3600,"P",36000,"O",8928,0,380,152,0,32,0
63,0,0,1,0,"P",33000,"U",0,0,356,424,0,200,0
53,0,0,1,5000,"P",36000,"O",26464,51200,440,380,0,60,0
64,0,0,1,0,"E",24000,"P",0,0,0,0,0,0,0
35,0,0,1,0,"V",23100,"U",0,0,340,0,0,100,0
61,0,0,1,0,"P",19500,"P",0,0,0,0,0,160,1
33,1,0,1,1750,"V",24464,"O",57856,36000,600,0,0,80,0
49,1,0,1,3500,"P",34200,"O",62464,41664,752,0,64,160,0
53,2,0,1,0,"E",39464,"O",6784,28928,2000,0,0,0,0
55,0,0,1,0,"P",40500,"O",23392,48464,1040,0,0,0,1
57,0,0,1,0,"V",28500,"O",4928,14052,672,436,0,128,0
39,5,0,1,0,"E",0,"O",48928,40000,612,0,0,0,0
62,0,0,1,0,"P",20907,"F",0,0,400,0,0,0,0
36,3,0,1,0,"V",57000,"O",23392,24000,340,0,0,0,0
61,0,0,1,0,"P",25500,"P",0,0,0,668,0,80,1
43,2,0,1,1500,"P",42000,"O",48928,48000,440,140,0,0,0
21,0,0,1,0,"R",24000,"O",43392,4,0,0,0,0,0
66,0,0,1,0,"P",2961,"F",0,0,300,0,0,80,0
68,0,0,1,0,"P",14625,"P",0,0,160,272,0,0,0
25,2,0,1,0,"P",18928,"O",10176,2464,1520,0,0,0,0
58,0,0,1,0,"P",18000,"P",0,0,400,0,0,0,0
37,1,0,1,15000,"P",10500,"O",48928,4,0,0,0,0,0
62,0,0,1,0,"P",28200,"O",6464,58000,488,0,0,0,0
57,1,1,1,4800,"M",58500,"O",60928,46928,1840,436,0,0,0
47,2,0,1,2500,"E",24000,"O",64464,52000,520,0,0,0,0
58,2,0,1,1500,"E",24000,"O",23392,10464,676,0,0,0,0
52,2,0,1,2500,"V",32403,"O",4928,8464,536,104,0,100,0
42,0,0,1,0,"P",30000,"O",45664,34464,760,800,0,0,0
66,0,0,1,0,"P",18000,"O",64000,0,416,192,0,0,0
39,0,0,1,0,"V",0,"U",0,0,416,0,0,0,0
17,0,0,1,0,"R",16200,"F",0,0,160,0,0,0,0
60,0,0,0,0,"V",24300,"O",62000,60000,440,156,0,0,0
65,0,0,1,0,"E",45000,"P",0,0,200,0,0,0,0
58,0,0,1,0,"B",30900,"F",0,0,280,0,0,0,0
26,0,0,1,0,"E",9464,"O",17856,0,0,0,0,0,0
48,3,0,1,0,"P",41400,"O",6464,36000,352,320,0,0,0
45,2,0,1,6250,"V",41256,"O",60928,56464,1292,0,0,0,0
54,2,0,1,0,"V",31500,"O",54464,0,912,88,0,200,1
62,1,0,1,0,"E",33000,"O",14464,4,0,0,0,0,1
42,2,0,1,6000,"P",27000,"O",63392,20000,460,0,0,0,1
48,2,0,1,1800,"V",51000,"O",43392,14464,800,0,0,0,0
46,2,1,1,0,"P",15464,"O",15712,28928,520,0,0,0,0
63,0,0,1,0,"P",18750,"O",464,0,600,0,0,0,0
63,0,0,1,0,"E",24000,"P",0,0,0,428,0,0,0
65,0,0,1,4000,"P",17700,"O",2464,64000,500,200,0,0,0
61,0,0,0,0,"P",16500,"F",0,0,400,80,0,0,1
59,0,0,1,0,"V",30000,"P",0,0,0,0,0,0,0
61,0,0,1,0,"P",37500,"P",0,0,0,0,0,0,0
62,0,0,1,0,"T",13800,"O",27392,4928,400,0,0,0,0
34,1,1,1,0,"E",9464,"O",17856,16000,552,0,0,400,0
59,0,0,1,6000,"B",30900,"O",62464,0,0,1400,0,0,0
64,0,0,1,0,"P",18300,"P",0,0,0,0,0,0,0
44,2,0,1,0,"P",15464,"O",59392,54464,2240,0,0,0,0
61,0,0,1,0,"P",33000,"P",0,0,100,500,0,0,0
13,0,0,1,0,"R",45000,"O",6784,4,0,0,0,400,0
29,1,0,1,0,"E",36000,"O",23392,38464,1048,0,0,0,1
55,2,0,1,0,"E",48928,"O",41248,48928,1960,0,0,0,1
44,0,0,0,0,"V",30900,"O",58928,54464,840,440,0,80,0
47,2,0,1,0,"E",0,"U",0,0,0,0,0,0,0
65,0,0,1,0,"P",15000,"P",0,0,0,0,0,0,1
26,0,0,1,0,"P",15600,"O",18464,28000,240,0,0,0,1
47,0,0,1,0,"P",22500,"O",23392,30464,888,0,0,0,1
40,1,0,1,14500,"V",57000,"O",12320,12464,680,0,0,80,0
36,0,0,1,0,"V",16947,"U",0,0,0,0,464,0,0
63,0,0,1,5200,"P",11700,"O",22464,0,540,264,100,160,1
26,0,0,1,0,"R",17400,"O",22464,4,0,0,464,0,0
37,1,0,1,0,"V",51000,"O",36928,8864,712,0,0,0,1
35,0,0,1,0,"P",21000,"O",34464,0,240,0,0,0,0
64,0,0,1,0,"V",18252,"P",0,0,0,0,0,0,0
64,0,0,1,0,"P",12000,"P",0,0,0,0,0,0,0
56,1,0,1,8050,"V",43500,"O",8928,62464,1168,0,56,0,0
56,0,0,1,11300,"P",24000,"O",48928,58464,880,304,0,0,0
42,1,2,1,5040,"P",27000,"O",4928,54464,772,0,0,0,0
64,0,0,1,0,"P",27000,"P",0,0,400,472,0,0,0
31,2,0,1,0,"P",31500,"O",63392,50000,728,0,0,0,0
61,1,0,1,0,"P",31671,"O",12928,928,540,316,0,120,1
47,2,0,1,0,"P",18000,"U",0,0,400,0,0,0,0
56,0,0,1,0,"P",17700,"F",0,0,400,0,0,0,0
49,1,0,1,9600,"P",22500,"O",43392,4928,1440,0,0,160,1
58,0,0,1,0,"P",18000,"O",0,0,400,0,0,0,0
19,0,0,1,0,"R",0,"O",0,0,0,0,0,0,1
51,2,0,1,0,"P",33000,"O",46464,60000,428,132,504,0,0
69,0,0,1,0,"T",4329,"P",0,0,0,0,0,0,0
56,1,0,0,0,"P",24464,"O",56928,56928,1920,0,0,1200,0
67,0,0,1,0,"T",10500,"P",0,0,288,0,0,0,0
29,0,0,0,0,"E",0,"O",0,0,0,0,0,0,0
64,0,0,0,0,"P",16500,"O",26464,26464,668,96,160,0,0
52,2,0,1,0,"P",25500,"O",38464,0,768,0,0,0,0
48,3,0,1,0,"P",464,"O",23392,2464,0,0,0,0,0
62,0,0,1,8000,"P",24000,"O",26464,0,680,0,0,0,0
67,0,0,1,0,"T",6000,"P",0,0,0,0,0,0,0
37,1,0,1,1300,"P",31500,"U",0,0,392,0,152,160,0
53,3,0,1,0,"E",34500,"O",10928,14464,660,0,0,0,0
67,0,0,1,0,"T",0,"P",0,0,0,0,0,0,0
38,0,2,1,0,"R",10947,"U",0,0,0,0,0,28,0
51,1,0,1,2000,"P",36000,"O",20928,34464,720,200,0,0,0
55,3,0,1,0,"P",24000,"O",50464,30464,880,0,0,0,0
56,3,0,1,0,"M",55200,"U",0,0,560,200,600,200,0
52,3,0,1,0,"P",19500,"O",60000,4,0,0,0,0,0
65,0,0,1,0,"P",10476,"P",0,0,240,0,80,0,1
50,2,0,0,0,"M",39000,"O",28928,42464,1000,240,0,0,0
19,0,0,1,1209,"R",19761,"U",0,0,340,52,0,0,0
43,1,0,1,0,"P",27000,"U",0,0,360,0,0,0,0
53,2,0,1,0,"V",39132,"O",60928,14464,760,0,0,0,0
64,0,0,1,0,"P",9600,"P",0,0,224,0,0,0,0
53,1,0,1,0,"P",52500,"O",24928,54464,1108,348,0,0,0
66,0,0,1,0,"T",5700,"P",0,0,356,0,0,0,0
41,0,0,1,8000,"P",36000,"O",11392,6588,184,0,0,0,0
50,4,0,1,7000,"P",30000,"O",8928,64000,500,540,0,0,1
51,0,0,1,0,"V",9600,"U",0,0,256,0,0,0,0
37,3,0,1,22500,"P",1964,"O",21248,4,0,1600,0,2400,0
56,0,0,1,0,"P",30000,"O",42464,16464,744,188,0,0,1
27,0,0,1,0,"R",18000,"O",0,0,0,0,0,0,0
59,0,0,1,0,"P",31500,"O",58464,26464,640,0,0,200,1
28,0,0,1,5200,"E",0,"O",43392,4,0,0,0,0,0
51,1,0,0,0,"P",54000,"O",3392,22928,1580,0,0,0,0
48,2,0,1,4200,"P",54000,"O",43392,56000,0,0,1600,0,0
58,0,0,1,0,"P",43500,"O",20928,0,800,0,0,280,1
29,0,0,1,0,"V",60000,"O",0,0,0,0,0,0,0
48,2,0,1,5500,"P",3000,"U",0,0,0,0,0,0,1
48,3,0,1,3000,"P",22500,"F",0,0,408,240,0,0,0
52,3,0,1,0,"V",51900,"U",0,0,1360,480,0,160,0
62,1,0,1,2356,"V",27000,"U",0,0,500,100,340,60,0
64,0,0,1,0,"V",17250,"F",0,0,336,0,0,0,0
50,0,0,1,9473,"V",36000,"O",60928,32464,720,0,0,0,0
30,0,0,1,0,"P",6240,"O",0,0,0,0,0,0,0
66,0,0,1,0,"P",14625,"P",0,0,240,92,160,0,0
65,0,0,1,0,"P",15054,"P",0,0,0,0,0,40,0
55,2,0,1,0,"P",60000,"O",8928,26464,800,0,356,0,0
54,1,0,1,10000,"V",6900,"O",36928,6400,512,76,0,0,0
38,0,0,1,0,"V",32769,"O",2464,0,0,160,0,0,0
33,0,0,0,0,"E",9464,"O",10176,4,0,0,0,0,0
23,0,0,1,0,"R",14400,"O",8928,5440,272,0,0,0,0
51,2,0,1,0,"P",42600,"O",4928,4,0,0,0,0,0
41,3,0,1,1976,"P",17940,"U",0,0,496,124,0,0,0
42,1,0,1,0,"V",17100,"U",0,0,352,432,0,80,0
54,1,2,1,0,"P",30000,"O",38464,14400,212,0,0,0,0
31,0,0,1,0,"P",18750,"U",0,0,0,212,0,0,0
58,0,0,1,0,"V",15300,"F",0,0,480,0,0,0,0
58,0,0,1,0,"P",33600,"P",0,0,0,0,0,120,0
39,0,0,1,0,"W",0,"O",46464,26464,0,0,0,0,1
40,0,0,1,0,"P",48000,"O",52320,28928,0,400,0,0,0
57,2,0,1,0,"V",31500,"O",48928,54464,944,0,0,0,0
40,1,0,1,6000,"E",45000,"O",11392,56000,408,216,0,200,0
38,2,0,1,0,"B",54000,"O",4928,28000,324,640,0,240,1
12,0,0,1,0,"R",0,"U",0,0,276,0,0,0,0
64,0,0,1,0,"P",19500,"P",0,0,400,344,0,0,0
49,3,0,1,0,"P",42000,"N",0,0,0,1080,0,0,1
52,2,0,1,0,"E",22500,"O",34464,4,0,0,0,80,0
57,0,0,1,8500,"V",28200,"O",46464,18464,644,240,520,20,0
67,0,0,1,0,"T",5580,"F",0,0,272,0,0,0,0
58,0,0,1,0,"P",24464,"U",0,0,0,0,0,0,0
67,0,0,1,0,"P",12900,"P",0,0,240,0,0,0,0
56,0,0,1,0,"P",24000,"O",64000,0,400,0,0,120,1
57,0,0,1,0,"P",22500,"P",0,0,0,0,0,0,0
40,0,0,1,8000,"P",15000,"O",24928,56000,416,384,0,0,0
68,0,0,1,0,"T",5703,"F",0,0,400,0,0,0,0
66,0,0,1,0,"T",6600,"P",0,0,400,0,0,0,0
64,0,0,1,0,"P",17739,"F",0,0,320,0,0,0,0
56,1,0,1,0,"P",30000,"O",8928,34464,848,0,128,96,0
59,0,0,1,0,"P",36000,"O",52928,24928,1684,228,208,0,1
57,0,0,1,8200,"P",54000,"O",8320,5856,2400,580,0,0,0
52,4,0,1,0,"P",48000,"O",57856,28928,1296,280,0,200,0
59,1,0,1,0,"V",13500,"O",46464,34464,0,0,0,0,0
52,1,0,1,11500,"W",0,"O",15392,60000,388,0,0,0,0
64,0,0,0,7800,"V",19800,"O",30464,26464,0,0,0,0,0
45,1,1,1,0,"E",18000,"U",0,0,392,0,0,0,0
60,0,0,1,0,"B",22500,"P",0,0,320,320,0,0,0
46,2,0,1,0,"E",45000,"O",28928,1928,1400,920,0,0,0
68,0,0,1,0,"P",8100,"P",0,0,0,0,0,0,0
61,0,0,0,9100,"P",38100,"O",49464,48464,600,0,0,120,0
27,0,0,1,3321,"P",45000,"O",9856,28000,320,608,100,0,1
63,1,0,1,12000,"E",3000,"O",6464,48000,440,0,208,0,0
63,0,0,1,0,"P",12000,"P",0,0,0,0,0,0,0
67,0,0,1,0,"T",7500,"P",0,0,0,0,0,0,0
66,0,0,1,0,"P",16500,"F",0,0,340,0,0,0,0
40,0,0,0,0,"B",60000,"O",37856,34464,0,0,0,0,0
35,2,0,1,0,"P",19500,"O",48928,4800,0,0,0,0,0
59,0,0,1,0,"V",15300,"N",0,0,400,0,0,40,1
60,0,0,1,0,"P",41700,"F",0,0,440,600,0,400,0
37,0,0,1,15000,"W",0,"O",3392,4,0,0,0,0,0
47,0,0,0,0,"E",0,"N",0,0,0,0,0,0,0
44,2,1,1,3000,"P",18000,"O",54464,56000,432,0,0,60,0
63,0,0,1,0,"V",25500,"P",0,0,0,0,0,0,0
64,1,0,1,0,"P",15000,"O",57856,35392,0,0,0,0,0
14,0,0,1,0,"R",9900,"O",54464,4,0,0,0,0,0
35,2,0,1,0,"E",30000,"O",54464,4,0,0,0,0,0
59,0,0,1,0,"P",45000,"O",30464,2464,508,0,40,0,1
52,3,0,1,1040,"P",31200,"O",28464,0,612,196,0,0,1
58,0,0,1,3600,"P",17493,"U",48928,0,0,0,0,0,0
55,0,0,1,0,"P",18000,"U",0,0,0,1000,0,0,0
55,2,0,1,0,"P",45000,"O",32928,928,1360,204,0,40,0
55,2,0,1,1100,"V",40950,"O",8928,26464,744,0,120,80,0
63,0,0,0,0,"T",0,"F",0,0,0,0,0,0,0
63,0,0,1,0,"T",5538,"F",0,0,436,0,0,0,0
48,0,0,1,0,"V",29739,"N",0,0,0,1048,0,0,0
41,0,0,1,12000,"P",18000,"O",18464,40000,116,1128,0,0,0
65,0,0,1,0,"P",13065,"P",0,0,240,0,0,0,0
11,0,0,1,0,"R",0,"N",0,0,0,0,0,0,0
49,4,0,1,0,"V",25484,"O",3392,8928,648,0,0,0,0
15,0,0,1,0,"R",27000,"O",28928,0,0,0,0,0,1
57,1,0,1,0,"E",54000,"O",63392,8928,840,0,0,0,0
62,0,0,1,0,"B",30000,"P",0,0,400,0,0,0,0
64,0,0,0,0,"T",5862,"F",0,0,44,0,0,0,0
48,2,0,1,5000,"P",60000,"O",39104,4,0,0,0,0,0
37,2,0,1,10000,"P",60000,"O",17856,42464,1480,0,0,0,0
